title,date,year,text,tags,imageurl,imgID,image
The Season of Anger Sets in Among the Arab Peoples,2011-03-30,2011,"The Season of Anger Sets in Among the Arab Peoples,,A member of the Algerian opposition warned the Arab rulers that the Tunisian revolution would initiate a revolutionary tsunami phenomenon that would sweep away their thrones. At the beginning of last December, the end of the dictatorial regimes began with successive protests against high prices in Algeria and Jordan. Then the Tunisian revolution demanded the fall of the regime. Algeria caught the ball of flames, and protests ignited again after having calmed for a time. Then after the Tunisian president was expelled, the revolution reached Egypt. And when Egyptians deposed Mubarak, the sparks proceeded to Algeria, Jordan, Yemen, Bahrain, and then Libya.,,The issue is not one of infection; rather, the subjugated peoples discovered the potential of their own free will. The revolution in one country inspired the populations in other countries, for people imprison themselves in waiting, hoping and yearning, until their spirits emerge carrying the roar of anger that shakes thrones. Every population transfers the experience of other revolutions, borrowing their slogans—’the people want the fall of the regime,’ and ‘peaceful, peaceful’—and their tactics, like the Friday of Anger in Jordan and sit-ins held in major squares located in middle of the capital, such as Egypt’s Tahrir Square. Tunisian revolutionaries contacted Egyptians, providing them with some tactics to beat the regime’s machine, like spraying the windshields of armored cars with colors to paralyze and get the better of them.,,Beyond inspiration and transmitting experience, there is also solidarity, for the Tunisian revolution’s victory celebrations spread to Jordan and Egypt. And most of the Arab peoples participated in Egypt’s joy. There were many moving scenes, like the singing of the national anthem and the distribution of sweets and drinks in Jordan and Gaza in celebration of Mubarak’s deposal.,,However, the regimes that consolidate their interests over and against the people’s also rely on one another and exchange their experiences with oppression and harassment. And now confrontations are raging in Bahrain, Yemen, and Libya as mummified regimes committing increased acts of violence and brutal murder against the protesters. Just as Egypt’s extinct regime did, they use thugs with soft weaponry to transform the scene into bloody chaos. Meanwhile, Israel threatens chaos at the regional level in support of its spies, the Arab rulers, since the one who benefits most from the bowing down of the Arab peoples and their backwardness is none other than Israel.,,The solidarity and support of the Arab revolutions for each other is the destiny of the Arab region and the only way to protect the interests and wealth of its peoples. With the extinct regime issuing threats—as if from another world—that Omar Suleiman, Mubarak, or Ria and Sikina will return, the duty to protect our revolution has doubled. Our resistance won’t simply bring about complete, permanent victory for our own revolution; it will also support the revolutions of other populations who support us in turn. This is our duty and our destiny. For the populations who were long patient, the path of regression to what came before was no longer available. Their victory will soon be achieved through their resistance and free will.,,",Solidarity,https://wayback.archive-it.org/2358/20120130161341im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/06/Revolution3b-e1307396170411.png,imgID1,"=Arrayformula(image(F2,2))"
The Most Important Workers’ Protests,2011-03-30,2011,"[Voice of the Revolution, #3, Page 2],The most important workers’ protests,,The strikes that the workers held on Wednesday and Thursday, February 9th and 10th, were the last nail in Mubarak’s coffin. The regime realized that these strikes had developed into a general strike that completely paralyzed the country, and it was not strong enough to punish everyone. Therefore it was decided that Mubarak would be sacrificed.,,After Mubarak’s removal, thousands of Egypt’s workers decided to move towards realizing the goals of freedom and social justice that the revolution championed. Thus we found large movements of workers demanding the alleviation of the suffering to which they had been exposed for decades. This suffering took many forms: low wages that sometimes did not exceed two hundred pounds per month, the “appointment” system under which the period of temporary work sometimes extended to twenty years, or else the overthrow of corrupt administrations, in which corrupt officials are paid tens and sometimes hundreds of thousands as the heads of most organizations and institutions, while most of the employees are paid merely hundreds of pounds.,,Fifteen thousand workers from the Public Transport Authority organized a sit-in in front of the Radio and Television Building demanding the resignation of the president of the Authority and a wage increase.,,Twenty thousand workers from the Egypt Textile Company in Mahalla al-Kubra organized a sit-in in which they demanded the resignation of the corrupt administration, the disbandment of the union, increased incentives, healthcare for workers, and the implementation of the court order to raise the minimum wage.,,Meanwhile, thousands of bank workers held a strike to demand the removal of corrupt officials and wage equality, and thousands of temporary gas workers organized a sit-in demanding the stabilization of temporary employment.,","Solidarity, Workers",https://wayback.archive-it.org/2358/20120130163619im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/06/Revolution3b-e1307396170411.png,imgID2,
Yes it’s the Workers’ and Employees’ Right to Strike,2011-03-30,2011,"[Voice of the Revolution, #3, Page 2],Yes it’s the workers’ and employees’ right to strike,,Suddenly, and after a big celebration, the tone of the rhetoric concerning the labor and class strikes changed. Suddenly, after many people thought that these protests could have played a role in winning the revolution, spoken discourse changed into its antithesis after the victory. Numerous powers led this attack, calling for an end to protests on the pretense that they lead to negative effects and harm the security of the country.,,In truth, this attack could only come from people who don’t understand the meaning of true revolution. For rights cannot be cut up into parts. We cannot speak of the right to democracy without the right to social justice. The millions that went out in the January 25th revolution were seeking a decent life just as much as they were seeking freedom, since the two are interconnected. Those who criminalize and prohibit labor and class protests now, claiming that this will preserve stability, will criminalize and forbid protests calling for the completion of the revolution’s democratic demands with the same claim.,,It is an inherent right of the workers and employees to struggle in order to gain their rights; it is a right that everyone who fights for the sake of freedom must defend. Indeed, it is the true guarantee that the revolutionary process will continue until permanent victory has been realized.,","Solidarity, Workers",https://wayback.archive-it.org/2358/20120130163625im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/Revolution3a-copy.png,imgID3,
The Revolution is Still Ongoing,2011-03-30,2011,"[Voice of the Revolution, #3, Page 1],Thanks to the great Egyptian people’s resistance, the revolution’s first goal was realized, and the dictator was toppled. However, there are still numerous goals that we must realize. For when millions of Egyptians shouted “long live freedom, social justice,” they didn’t mean only the disposal of the dictator, but rather the regime, in all of its oppression, corruption, and poverty.,The battle isn’t over. The emergency law remains, which opens the door for the police to continue the policy of arbitrary detention and imprisonment without trial. The SSI remains present, which opens the door for torture practices and other means of oppression against political opposition. Thousands of political prisoners remain imprisoned without trial. The ministry is still full of symbols of corruption that the people disdain and blame for wasting their wealth. Billions of the people’s money remains stored in Swiss and Gulf banks. The dictator’s and his family’s money remains abroad, protected from any danger.,At the same time, the old regime strives to preserve itself, and to stop the success of the revolution at the minimum degree. However, the dignified life that millions of Egyptians hope for requires more fighting in order to cancel all the laws restricting freedoms, to change the structure of the police apparatus subordinating it to judicial supervision, to issue a constitution that achieves equality among all citizens, to return the smuggled money, to nationalize the companies which their owners closed in the face of the laborers, to change the current labor law that is completely biased towards business owners, and to take other steps down the path of equality and human dignity.,The path remains long. We must benefit from the unity and banding-together that was realized throughout the days of the revolution, and the beginning is gathering ourselves in linkages and associations and unions, in the working neighborhoods and sites, in order to defend our legitimate rights.,",Revolution,https://wayback.archive-it.org/2358/20120130163630im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/Revolution3a-copy.png,imgID4,
"Voice of the Revolution, #3",2011-03-30,2011,"February 18 Change…freedom…social justice Third Issue,Printed by a group of socialists Contact: [XXXXXXXX],,Thanks to the great Egyptian people’s resistance, the revolution’s first goal was realized, and the dictator was toppled. However, there are still numerous goals that we must realize. For when millions of Egyptians shouted “long live freedom, social justice,” they didn’t mean only the disposal of the dictator, but rather the regime, in all of its oppression, corruption, and poverty.,The battle isn’t over. The emergency law remains, which opens the door for the police to continue the policy of arbitrary detention and imprisonment without trial. The SSI remains present, which opens the door for torture practices and other means of oppression against political opposition. Thousands of political prisoners remain imprisoned without trial. The ministry is still full of symbols of corruption that the people disdain and blame for wasting their wealth. Billions of the people’s money remains stored in Swiss and Gulf banks. The dictator’s and his family’s money remains abroad, protected from any danger.,At the same time, the old regime strives to preserve itself, and to stop the success of the revolution at the minimum degree. However, the dignified life that millions of Egyptians hope for requires more fighting in order to cancel all the laws restricting freedoms, to change the structure of the police apparatus subordinating it to judicial supervision, to issue a constitution that achieves equality among all citizens, to return the smuggled money, to nationalize the companies which their owners closed in the face of the laborers, to change the current labor law that is completely biased towards business owners, and to take other steps down the path of equality and human dignity.,The path remains long. We must benefit from the unity and banding-together that was realized throughout the days of the revolution, and the beginning is gathering ourselves in linkages and associations and unions, in the working neighborhoods and sites, in order to defend our legitimate rights.,[Page 2],The Season of Anger Sets in Among the Arab Peoples,,A member of the Algerian opposition warned the Arab rulers that the Tunisian revolution would initiate a revolutionary tsunami phenomenon that would sweep away their thrones. At the beginning of last December, the end of the dictatorial regimes began with successive protests against high prices in Algeria and Jordan. Then the Tunisian revolution demanded the fall of the regime. Algeria caught the ball of flames, and protests ignited again after having calmed for a time. Then after the Tunisian president was expelled, the revolution reached Egypt. And when Egyptians deposed Mubarak, the sparks proceeded to Algeria, Jordan, Yemen, Bahrain, and then Libya.,,The issue is not one of infection; rather, the subjugated peoples discovered the potential of their own free will. The revolution in one country inspired the populations in other countries, for people imprison themselves in waiting, hoping and yearning, until their spirits emerge carrying the roar of anger that shakes thrones. Every population transfers the experience of other revolutions, borrowing their slogans—’the people want the fall of the regime,’ and ‘peaceful, peaceful’—and their tactics, like the Friday of Anger in Jordan and sit-ins held in major squares located in middle of the capital, such as Egypt’s Tahrir Square. Tunisian revolutionaries contacted Egyptians, providing them with some tactics to beat the regime’s machine, like spraying the windshields of armored cars with colors to paralyze and get the better of them.,,Beyond inspiration and transmitting experience, there is also solidarity, for the Tunisian revolution’s victory celebrations spread to Jordan and Egypt. And most of the Arab peoples participated in Egypt’s joy. There were many moving scenes, like the singing of the national anthem and the distribution of sweets and drinks in Jordan and Gaza in celebration of Mubarak’s deposal.,,However, the regimes that consolidate their interests over and against the people’s also rely on one another and exchange their experiences with oppression and harassment. And now confrontations are raging in Bahrain, Yemen, and Libya as mummified regimes committing increased acts of violence and brutal murder against the protesters. Just as Egypt’s extinct regime did, they use thugs with soft weaponry to transform the scene into bloody chaos. Meanwhile, Israel threatens chaos at the regional level in support of its spies, the Arab rulers, since the one who benefits most from the bowing down of the Arab peoples and their backwardness is none other than Israel.,,The solidarity and support of the Arab revolutions for each other is the destiny of the Arab region and the only way to protect the interests and wealth of its peoples. With the extinct regime issuing threats—as if from another world—that Omar Suleiman, Mubarak, or Ria and Sikina will return, the duty to protect our revolution has doubled. Our resistance won’t simply bring about complete, permanent victory for our own revolution; it will also support the revolutions of other populations who support us in turn. This is our duty and our destiny. For the populations who were long patient, the path of regression to what came before was no longer available. Their victory will soon be achieved through their resistance and free will.,,Yes it’s the workers’ and employees’ right to strike,,Suddenly, and after a big celebration, the tone of the rhetoric concerning the labor and class strikes changed. Suddenly, after many people thought that these protests could have played a role in winning the revolution, spoken discourse changed into its antithesis after the victory. Numerous powers led this attack, calling for an end to protests on the pretense that they lead to negative effects and harm the security of the country.,,In truth, this attack could only come from people who don’t understand the meaning of true revolution. For rights cannot be cut up into parts. We cannot speak of the right to democracy without the right to social justice. The millions that went out in the January 25th revolution were seeking a decent life just as much as they were seeking freedom, since the two are interconnected. Those who criminalize and prohibit labor and class protests now, claiming that this will preserve stability, will criminalize and forbid protests calling for the completion of the revolution’s democratic demands with the same claim.,,It is an inherent right of the workers and employees to struggle in order to gain their rights; it is a right that everyone who fights for the sake of freedom must defend. Indeed, it is the true guarantee that the revolutionary process will continue until permanent victory has been realized.,,The most important workers’ protests,,The strikes that the workers held on Wednesday and Thursday, February 9th and 10th, were the last nail in Mubarak’s coffin. The regime realized that these strikes had developed into a general strike that completely paralyzed the country, and it was not strong enough to punish everyone. Therefore it was decided that Mubarak would be sacrificed.,,After Mubarak’s removal, thousands of Egypt’s workers decided to move towards realizing the goals of freedom and social justice that the revolution championed. Thus we found large movements of workers demanding the alleviation of the suffering to which they had been exposed for decades. This suffering took many forms: low wages that sometimes did not exceed two hundred pounds per month, the “appointment” system under which the period of temporary work sometimes extended to twenty years, or else the overthrow of corrupt administrations, in which corrupt officials are paid tens and sometimes hundreds of thousands as the heads of most organizations and institutions, while most of the employees are paid merely hundreds of pounds.,,Fifteen thousand workers from the Public Transport Authority organized a sit-in in front of the Radio and Television Building demanding the resignation of the president of the Authority and a wage increase.,,Twenty thousand workers from the Egypt Textile Company in Mahalla al-Kubra organized a sit-in in which they demanded the resignation of the corrupt administration, the disbandment of the union, increased incentives, healthcare for workers, and the implementation of the court order to raise the minimum wage.,,Meanwhile, thousands of bank workers held a strike to demand the removal of corrupt officials and wage equality, and thousands of temporary gas workers organized a sit-in demanding the stabilization of temporary employment.,","Revolution, Revolutionary Newspapers",https://wayback.archive-it.org/2358/20120130160826im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/Revolution3a-copy.png,imgID5,
We Are Still Continuing Until Victory,2011-03-29,2011,"We Are Still Continuing Until Victory,,Our path and revolution are still continuing until the removal of all that remains of the corrupt regime and its party and until the country is cleansed of them. The beginning of our demands is the removal of Ahmad Shafiq and his government, which is considered one of the remains of the previous regime because of the presence of ministers affiliated with Mubarak and the corrupt National Democratic Party. We will not accept the continued presence of these people. Nor will we accept any attempt to circumvent the people’s demand for the complete overthrow of the regime, our basic demand, or to assuage us with palliatives that take the form of cabinet reshuffling. We demand a technocratic government with national expertise and the establishment of a time frame for the implementation of our remaining demands:,We are continuing until victory and the cleansing of the country.,XXXXXXXXXX – XXXXXXXXXX – XXXXXXXXXX [numbers redacted],www.6april.org,[logo in the lower left corner: “The movement of the April 6 Youth”,,","Demands, Movements, Revolution, Solidarity",https://wayback.archive-it.org/2358/20120130163635im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/Revolution01.png,imgID6,
Open Sit-In,2011-03-29,2011,",,,Demands of the Sit-in:,A presidential council of 5 people including a military representative chosen by the Supreme Council of the Armed Forces.They are not permitted to nominate anyone for the presidency of the republic.,The completion of the following tasks:,1. The formation of an institutional assembly to lay to out a new constitution for the country setting up a democratic parliamentary system on the basis of citizenship and lack of discrimination between citizens.,2. The amendment of current legislation to guarantee freedom to establish parties, unions, and associations.,NO NO NO to the constitutional amendments,NO NO NO to sectarianism,Our sit in supports ‘Isam Sharaf’s government,Long live the Egyptian revolution, No to factionalism and No to sectarianism,,___________,Translated by Yasmeen Mekawy,Translation reviewed by Thomas Levi Thompson,« “Participate in Supporting the Egyptian Economy” We Are Still Continuing Until Victory »,You can be the first one to leave a comment.,Click here to cancel reply.,Tahrir Documents is an ongoing effort to archive and translate activist papers from the 2011 Egyptian uprising and its aftermath. Materials are collected from demonstrations in Cairo’s Tahrir Square and published in complete English translation alongside scans of the original documents. The project is not affiliated with any political organization, Egyptian or otherwise.,For more information please contact tahrirdocuments@gmail.com,Designed by,Copyright © 2012 Tahrir Documents. All rights reserved.","Demands, Revolution",https://wayback.archive-it.org/2358/20120130163640im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/OpenSitIn.png,imgID7,
“Participate in Supporting the Egyptian Economy”,2011-03-28,2011,",Brothers and sisters—all people of Egypt,No doubt you have noticed the gravity of the negative effects on the Egyptian economy that have resulted from the economic halt in most sectors during the last few days due to the circumstances that the country is going through. This includes the Egyptian stock market, which has been adjourned several times guarding against a rush to sell precipitated by a fear of negative effects on the Egyptian economy.,If you knew that a rush to sell stocks could actually cause Egyptian stock indices to crash—which would in turn be reflected in the rest of the economic sectors—then you would realize how important it is that our proud people do everything possible to support the stock market so that we do not cause it to collapse. Therefore, we must support the national economy and prove to the whole world that our people will make economic collapse impossible, and that their patriotism and defense of their wealth is an example to be followed. With that, I invite you all to do the following:,Firstly: Advise everyone you know who owns stocks to not be afraid and rush to sell, because the truth is that we are progressing towards positive reforms and changes, recovery of lost funds, and many positive decisions. All these factors and others like them indicate that stock prices will rise and reap profits in the short term. So if you don’t plan on buying, don’t sell.,Secondly: Your purchase of stocks in the exchange now is an opportunity for profit, for the justifications I gave above. It is a national economic duty for all to create strong purchasing power that supports trading in the stock market at its beginning, so that it sparks the market to go up and gain profits.,An invitation to all groups of people to make a purchase of stocks of even the lowest amount (100 Egyptian pounds) per person. A number of individuals can apply in the name of one person if their financial ability is lower than that sum, and even one person out of 100 people each paying 1 pound can make a purchase.,Initiate this quickly and do not hesitate to head to a brokerage firm in the stock market. Bring with you your national identity card to open an account in stock market exchanges and to obtain a trading code in your name (this is a necessary step so that you can deal in buying and selling in the market.) Mention to them that you came to participate in an economic support campaign, and you will find that all brokerage firms and entities in the market will facilitate and assist you and welcome and thank you.,Your initiative to participate is not only supportive, but it also affects the outset of the Egyptian stock market after the Revolution, creating a strong starting point which will dazzle us. We will rise from the first economic indicator that props us up economically before the world, and confidence and capital to invest in our homeland of Egypt will return.,",Culture,https://wayback.archive-it.org/2358/20120130160808im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/Economic-Support.png,imgID8,
Glaring Contradictions in the Failed Amendments to the Constitution,2011-03-28,2011,",The text of Article 77, after the amendments, conflicts with Article 190 of the Constitution, which will not be amended. The text of Article 77, after amending, is as follows:,“The length of the presidency shall be four years (according to the Christian calendar), beginning with the announcement of election results. One may only be elected President of the Republic twice.”,Whereas Article 190 of the Constitution states:,“The period of the current Presidency of the Republic ends at the expiry of six years from the date of the announcement of the election results for President to the Republic.”,There is an inconsistency between the two Articles.,There is a conflict in the legal or constitutional Article regarding the Presidency of the Republic. Is the period 4 years or 6 years? The problem with this is that the newly-elected President may act in accordance with the second article and remain in power 6 years as if Article 77 was never amended.,Article 78 of the Constitution states:,“Procedures for choosing the new President shall begin 60 days before the end of the current Presidential term and must be completed at least one week prior to the end of the current term. If the selection of a new President is not completed within this time-frame, for whatever reason, the former President shall continue directing Presidential functions until his successor is selected. If the election of the new President is announced prior to the end of the previous term, the Presidential term begins the day after the end of the previous term.,The danger of this Article is [clear] when we draw a connection between it and Articles 77 and 190. [It] regards the lack of a deliberate intention or transparency [in them]. We are not reassured by the various scenarios and plans which have been offered as a distraction for the people and particularly for the youth.,[This is] due to the fact that Article 78 provides situations which leave the door wide open for the President to continue governing and directing the functions of his position, usurping power, and imposing himself on the nation by devising any grounds necessary, fabricating problems, and inventing crises, as happened during the previous presidency:,It is clear that Article 78 stipulates that: “If this period ends without the selection of a new president having been completed for any reason, the former president shall continue directing presidential functions until his successor is selected.” The statement “for any reason” should be deleted and replaced with “if necessary”.,Amended Article 148 states:,“The President of the Republic may announce a state of emergency as stipulated by the law. He must present this announcement to the People’s Assembly during the seven days prior [to its enactment] in order that it decide on the matter.,If the announcement is made when the Assembly is not convened, the Assembly shall be convened immediately in order that the announcement be presented to it, taking into account the time limit established in the previous paragraph.,If the Assembly has been dissolved, the matter shall be presented to the new Assembly during its first meeting and the members of the People’s Assembly must agree on announcing the state of emergency for a time period not to exceed six months. It shall not be extended except by a referendum of the people agreeing on such an extension.”,If we are currently facing an ongoing controversy with a foreign state attacking Egyptian land, should the President wait for a popular referendum—all the way from Alexandria to Aswan—to get the people’s opinion? Or [should he] govern the people by taking up the measures and necessary actions to hold off this hostility? Here, I say he should govern the people, instead of the president being restricted by the outcome of a referendum.,I think that the paragraph regarding the popular referendum in this Article distracts the people from the flaws which are connected to the constitution and its amendments in order to make the Egyptian people happy that they will be consulted, and their opinion and rule on everything will be followed. It is critical to get the people’s opinion on a Vice President, whom the people elect, not for the president to impose a Vice President on the people to govern them. This returns us to the handing over of power without the people noticing it.,Whereas Article 139 states:,“The President of the Republic must appoint, within his first 60 days of directing the function of his position, one Vice President or more and limit his/their jurisdiction. If the situation requires the Vice President’s dismissal, the President must appoint another one.,The conditions of duty made incumbent upon the President and the organizational rules for his support also apply to the Vice President.”,In every presidential democratic regime, the Vice President of the Republic is elected and not appointed, so that he—that is, the Vice President—can possibly become, in some circumstances, the President of the Republic through nomination. As far as this goes, this Article has passed over the people in the matter of choice or election of its president. This is inconsistent with the simplest principles of justice and democracy, yet this Article enshrines the principle of bestowing authority time and again.,Then, we come to the text of Article 179 which states:,“The President of the Republic, after the agreement of the Cabinet and half the members of the People’s Assembly and the Shura Council, can demand the drafting of a new constitution. [He can] establish a committee of 100 members who are chosen by a majority of the two Houses of Parliament. [Those nominated to the committee] are excluded from this vote. [They] will draft the constitution jointly within a period of 6 months from the date of its formation. The President of the Republic shall then call for a referendum of the people on the draft 15 days from the date of completion of the new constitution.”,The danger of Article 189 is that it does not call for nor oblige either the President of the Republic or the People’s Assembly to form a new constitution, nor does it require both the President and the Assembly to put in place a new constitution.,Additionally, the Article does not outline a deterrent penalty if either the President of the Republic or the members of the People’s Assembly give up or collude in consenting to the current constitution and do not draft a new one.,Whereas this Article creates a right for both the President and the People’s Assembly to draft a new constitution, there is a great difference between “right,” “duty,” and “obligation”. A “right” is something one is permitted to exercise or not exercise whereas a “duty” is an “obligation” for a person to undertake some specific task.,This proves the bad intention of [those] drafting this Article as far as what was mentioned previously. If the direction was explicit and clear toward drafting a new constitution, then the Article should begin with a statement obliging the President of the Republic to a duty… or committing the President of the Republic… something to confirm the political will toward a referendum on the current constitution as it is following the amendments. This is a dangerous matter which reflects a huge setback for the revolution, returning us to a regime worse than the one previous to the 25 of January 2011.,On the other hand, this text replaces the [authority] of the people with [that of] the members of the drafting committee, whereas the people are not able to choose the members of the drafting committee. This is a phenomenon of dictatorship which contradicts the principles of justice and democracy, following the old method while imposing trusteeship and hegemony over the people.,Article 189, Repeated (A),Why is the Shura Council to stay even though they are neither making progress nor postponing it? They are costing the state huge amounts of money, [money] which should provide public benefit and of which the poor are in need.,Or, has this Council adjusted the rules to appease some [political] personalities at the expense of the public treasury?,Article 75,This article has been tailored to exclude rational and practical expertise found among the Egyptian people so as to not benefit from its wide amount of learning from outside the country and across the world. These experts would be very beneficial as far as their competency and inventions. It would form a civilizational and qualificational leap forward for the country.,,Therefore I recommend refusing the amendments and the constitution as a whole.,Choose a drafting committee to present a parliamentary constitution like the constitution of 1923.,Abolish the Shura Council,,Muhammad Sayyid al-Sa‘idi,Appeals Lawyer,[phone number redacted],","Constitution, March Referendum",https://wayback.archive-it.org/2358/20120130161650im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/GlaringContradictionsInTheAmendments.png,imgID9,
The January 25th Egyptian Renaissance Party: “The Revolution is in Danger”,2011-03-28,2011,"Egypt has, in the past days, gone through a vexing time in its history, and it is testing the credibility of the sons of the revolution and those who believe in it or of those who used and exploited it. The call went out: “Do you support the extension of the absolute powers of the next president of the republic, giving him the same powers as the previous president, or do you support changing the Constitution and reducing the powers of the next president? This was among the most fundamental and basic goals of the revolution, that millions of Egyptians went out to support. However, everyone is surprised to see that matters are headed in the direction of “Are you with Islam, or against Islam?” The fatwa has entered the dialogue from the minbar. Men of religion have issued fatwas to say “yes”, and to forbid saying “no” while at the same time the sons of the revolution have prohibited the calls for, or distribution of, statements which say “no.”,The most dangerous incident occurred at the committees. There are those who stand before the committees, and sometimes within them, who say “For God’s sake, and for the sake of Islam, say yes, my brother.” The Shura Council is comprised of Mubarak’s “clergy” who defended him, condemned going out against him, forbade the demonstrations, and did not recognize the martyrs. Now they deny this, and they have befriended some of those from among our companions in the revolution. Where is the Military Council in all this? We demand that if the mosques are going to use calls for factious thought when entering into politics, then why not divide the mosques and give each political faction a number of mosques to use so that there are equal opportunities or ban those who are using the mosques and return them to the state’s control once again? We are the sons of the revolution. We do not recognize these misguided outcomes, we tightly adhere to our demands, we will not admit that they have defeated the revolution or the Egyptian people, and we caution against the upcoming electoral options being either saying “yes” to Islam or saying “no” to heresy.,They imagine those who oppose them to be the party that lost its way, whereas they themselves are in fact the lost party. We reject decisions which ban demonstrations and sit-ins and the fines for these strict provisions. We maintain that we and the Egyptian people have the right to peaceful demonstrations as long as our demands have not been met, and they are:,1. Announcing the names of those arrested and specifying a timetable for their release.,2. Changing the constitution, not amending it, and reducing the powers of the President of the Republic.,3. Dissolving the National Democratic Party (NDP), and distributing its headquarters among all of the parties, both new and old.,4. Delaying the People’s Assembly elections until after the presidential elections to give the revolutionary youth time to form parties in order to participate in the elections.,5. Rescuing and bringing back the Egyptians in Libya. We proclaim that we support the revolution in Libya and all of the revolutions in the Arab world.,6. Holding people accountable for burning files and quickly reclaiming the looted treasures from all of the corrupt, including the Mubarak family.,7. Putting on trial the policemen involved in causing the death of revolutionaries.,8. Preferring that those who know the law take the place of the police should they decide not to return to their positions.,9. Dissolving local councils and electing new governors from among the citizens.,10. Sacking the council presidents and editors of state-owned newspapers who opposed the revolution.,11. Calling for unity with the Palestinians and dismantling the blockade against Gaza.,,This is our opportunity to serve our nation to ensure a better future for us and the coming generations. Egypt after the 25th of January does not need to be how it was before that date. We have called for all of us to think about Egypt after January 25th. For this reason, we will propose a forward-looking vision as the task of the Egyptian renaissance in order to revive all sectors and plans to build a better tomorrow for us and our security. For he who finds himself wanting to participate in building Egypt, preserving the continuing revolution, and participating in a future that is better for Egypt, let him march forward with us in establishing the January 25th Egyptian Renaissance Party.,,Power to the People,To join/participate call/ [phone number redacted],ERRPJ@groups.facebook.com,","Other Parties, Politics",https://wayback.archive-it.org/2358/20120130163645im_/http://www.tahrirdocuments.org/wp-content/uploads/2011/03/RevolutionPartyEgyptianRenaissance.png,imgID10,
