"ego.anon","alter.anon","freq"
"a","e","once_semester"
"a","p","once_semester"
"a","q","once_week"
"a","r","once_week"
"a","s","once_week"
"a","t","once_semester"
"a","v","once_month"
"a","w","once_semester"
"a","x","once_semester"
"a","y","once_semester"
"b","f","once_month"
"b","h","once_month"
"b","l","once_week"
"b","m","once_ever"
"b","u","once_ever"
"c","d","once_ever"
"c","f","once_semester"
"e","q","once_ever"
"e","s","once_month"
"e","y","once_ever"
"f","b","once_month"
"f","c","once_month"
"f","d","once_month"
"f","h","once_week"
"f","k","once_month"
"f","m","once_semester"
"h","b","once_month"
"h","c","once_month"
"h","f","once_week"
"h","l","once_month"
"h","v","once_ever"
"i","r","once_ever"
"j","f","once_week"
"j","g","once_month"
"j","j","once_week"
"j","l","once_semester"
"j","n","once_ever"
"j","r","once_month"
"j","v","once_month"
"k","d","once_week"
"k","f","once_week"
"k","m","once_month"
"k","u","once_week"
"l","b","once_week"
"l","f","once_semester"
"l","h","once_week"
"l","p","once_semester"
"m","b","once_month"
"m","d","once_week"
"m","k","once_month"
"m","u","once_week"
"n","w","once_week"
"o","f","once_ever"
"o","n","once_week"
"p","s","once_semester"
"p","v","once_month"
"p","w","once_week"
"q","a","once_week"
"q","e","once_ever"
"q","i","once_month"
"q","r","once_week"
"q","s","once_week"
"q","t","once_semester"
"q","v","once_month"
"q","w","once_month"
"q","x","once_week"
"q","y","once_semester"
"r","i","once_semester"
"s","a","once_week"
"s","e","once_month"
"s","p","once_semester"
"s","q","once_week"
"s","r","once_week"
"s","t","once_semester"
"s","v","once_month"
"s","w","once_semester"
"s","x","once_semester"
"s","y","once_month"
"t","a","once_semester"
"t","q","once_semester"
"t","s","once_semester"
"t","w","once_week"
"t","x","once_semester"
"v","a","once_month"
"v","p","once_month"
"v","q","once_month"
"v","s","once_month"
"v","w","once_month"
"w","a","once_ever"
"w","p","once_week"
"w","q","once_month"
"w","s","once_semester"
"w","t","once_month"
"w","v","once_month"
"x","a","once_semester"
"x","i","once_semester"
"x","q","once_week"
"x","r","once_ever"
"x","s","once_semester"
"x","t","once_semester"
"x","y","once_ever"
"y","q","once_month"
"y","s","once_week"
"y","v","once_semester"
"y","x","once_semester"
